部屋番号,曜日,受付_30min,診療科名,初再診区分,件数
,0,15:00,救急科,初診,3
,0,15:00,整形外科,再診,3
,0,15:00,整形外科,初診,1
,0,15:00,歯科口腔外科,再診,2
,0,15:00,泌尿器科,再診,3
,0,15:00,消化器内科,再診,1
,0,15:00,産婦人科,再診,4
,0,15:00,皮膚科,再診,1
,0,15:00,看護部,再診,1
,0,15:00,眼科,再診,6
,0,15:00,総合内科,再診,2
,0,15:00,耳鼻咽喉科,再診,2
,0,15:00,脳神経内科,再診,1
,0,15:30,一般消化器外科,再診,1
,0,15:30,乳腺外科,再診,1
,0,15:30,入退院支援センター,再診,1
,0,15:30,呼吸器内科,再診,1
,0,15:30,小児科,再診,4
,0,15:30,循環器内科,再診,4
,0,15:30,循環器内科,初診,1
,0,15:30,救急科,初診,1
,0,15:30,整形外科,再診,2
,0,15:30,歯科口腔外科,再診,12
,0,15:30,泌尿器科,再診,1
,0,15:30,消化器内科,再診,1
,0,15:30,消化器内科,初診,1
,0,15:30,産婦人科,再診,7
,0,15:30,眼科,再診,6
,0,15:30,総合内科,再診,1
,0,15:30,耳鼻咽喉科,再診,3
,0,16:00,ソーシャルワーカー,再診,1
,0,16:00,一般消化器外科,再診,2
,0,16:00,小児科,再診,2
,0,16:00,循環器内科,再診,5
,0,16:00,感染症,再診,1
,0,16:00,放射線治療科,再診,1
,0,16:00,救急科,再診,1
,0,16:00,救急科,初診,1
,0,16:00,歯科口腔外科,再診,2
,0,16:00,泌尿器科,再診,1
,0,16:00,消化器内科,再診,1
,0,16:00,産婦人科,再診,3
,0,16:00,眼科,再診,1
,0,16:00,耳鼻咽喉科,再診,2
,0,16:00,骨転移カンファレンス,再診,1
,0,16:00,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,再診,1
,0,16:30,救急科,初診,1
,0,16:30,泌尿器科,再診,1
,0,16:30,消化器内科,再診,1
,0,16:30,看護部,再診,1
,0,16:30,総合内科,再診,1
,0,17:00,ソーシャルワーカー,再診,1
,0,17:00,メンタルケア科,再診,1
,0,17:00,一般消化器外科,再診,1
,0,17:00,内科,初診,3
,0,17:00,放射線治療科,再診,1
,0,17:00,救急科,再診,1
,0,17:00,消化器内科,再診,1
,0,17:00,消化器内科,初診,1
,0,17:00,産婦人科,再診,1
,0,17:00,眼科,再診,1
,0,17:00,総合内科,再診,1
,0,17:00,耳鼻咽喉科,再診,1
,0,17:00,遺伝診療科,再診,1
,0,17:30,内科,再診,3
,0,17:30,小児科,初診,2
,0,17:30,救急科,初診,1
,0,17:30,整形外科,再診,1
,0,17:30,消化器内科,初診,1
,0,17:30,皮膚科,再診,1
,0,18:00,内科,再診,1
,0,18:00,小児科,再診,1
,0,18:00,遺伝診療科,再診,1
,0,18:30,内科,初診,1
,0,18:30,耳鼻咽喉科,再診,1
,0,18:30,耳鼻咽喉科,初診,1
,0,19:00,内科,初診,1
,0,19:00,小児科,初診,2
,0,19:00,救急科,初診,1
,0,19:00,歯科口腔外科,再診,1
,0,19:00,耳鼻咽喉科,初診,1
,0,19:30,内科,再診,1
,0,19:30,形成外科,初診,1
,0,19:30,脳神経外科,初診,1
,0,20:00,内科,再診,1
,0,20:00,内科,初診,1
,0,20:00,循環器内科,初診,1
,0,20:00,耳鼻咽喉科,初診,1
,0,20:00,遺伝診療科,再診,1
,0,20:30,内科,初診,1
,0,20:30,救急科,初診,1
,0,20:30,眼科,初診,1
,0,20:30,耳鼻咽喉科,初診,2
,0,21:00,内科,再診,2
,0,21:00,内科,初診,1
,0,21:00,救急科,初診,1
,0,22:00,内科,再診,1
,0,22:00,内科,初診,1
,0,22:00,小児科,初診,1
,0,22:00,産婦人科,初診,1
,0,22:30,内科,再診,1
,0,22:30,救急科,初診,1
,0,23:00,救急科,再診,1
,1,00:00,アレルギー科,再診,3
,1,00:00,ソーシャルワーカー,再診,3
,1,00:00,リウマチ膠原病内科,再診,7
,1,00:00,一般消化器外科,再診,16
,1,00:00,乳腺外科,再診,16
,1,00:00,呼吸器内科,再診,16
,1,00:00,外来手術室,再診,6
,1,00:00,小児科,再診,12
,1,00:00,形成外科,再診,9
,1,00:00,形成外科,初診,1
,1,00:00,循環器内科,再診,5
,1,00:00,感染症,再診,2
,1,00:00,放射線治療科,再診,5
,1,00:00,整形外科,再診,20
,1,00:00,整形外科,初診,1
,1,00:00,歯科口腔外科,再診,6
,1,00:00,泌尿器科,再診,28
,1,00:00,消化器内科,再診,6
,1,00:00,産婦人科,再診,8
,1,00:00,皮膚・排泄ケア,再診,7
,1,00:00,皮膚科,再診,6
,1,00:00,看護部,再診,2
,1,00:00,眼科,再診,18
,1,00:00,総合内科,再診,3
,1,00:00,緩和ケアチーム,再診,2
